country;iata_code;name;latitude;longitude;alt_codes
BRB;BGI;Grantley Adams International Airport;13.0744;-59.4922;
CAN;YQX;Gander International Airport;48.9369;-54.5681;
CAN;YYZ;Toronto Pearson International Airport;43.6777;-79.6248;
FRA;CDG;Charles de Gaulle Airport;49.0097;2.5479;
FRA;ORY;Paris Orly Airport;48.7262;2.3652;
GBR;LGW;London Gatwick Airport;51.1536;-0.1822;
ITA;FCO;Leonardo da Vinci–Fiumicino Airport;41.8003;12.2389;
ITA;NAP;Naples International Airport;40.8860;14.2908;
JPN;HND;Tokyo Haneda Airport;35.5494;139.7798;
MEX;CUN;Cancún International Airport;21.0367;-86.8769;
PRI;SJU;Luis Muñoz Marín International Airport;18.4390;-66.0021;
USA;ABQ;Albuquerque International Sunport;35.0403;-106.6092;
USA;ADQ;Kodiak Airport;57.7500;-152.4939;
USA;AKN;King Salmon Airport;58.6767;-156.6492;
USA;ANC;Ted Stevens Anchorage International Airport;61.1743;-149.9975;
USA;ATL;Hartsfield–Jackson Atlanta International Airport;33.6407;-84.4277;
USA;AUS;Austin–Bergstrom International Airport;30.1944;-97.6700;
USA;BDL;Bradley International Airport;41.9389;-72.6833;
USA;BNA;Nashville International Airport;36.1317;-86.6688;
USA;BOS;Logan International Airport;42.3656;-71.0096;
USA;BRW;Wiley Post–Will Rogers Memorial Airport;71.2856;-156.7661;
USA;BWI;Baltimore/Washington International Airport;39.1754;-76.6684;
USA;CLE;Cleveland Hopkins International Airport;41.4075;-81.8511;
USA;CLT;Charlotte Douglas International Airport;35.2140;-80.9431;
USA;CMH;John Glenn Columbus International Airport;39.9950;-82.8892;
USA;CVG;Cincinnati/Northern Kentucky International Airport;39.0533;-84.6630;
USA;CXC;Chitina Airport;61.582778;-144.428056;
USA;DAL;Dallas Love Field;32.8471;-96.8518;
USA;DAY;James M. Cox Dayton International Airport;39.9025;-84.2194;
USA;DCA;Ronald Reagan Washington National Airport;38.8512;-77.0402;
USA;DEN;Denver International Airport;39.8561;-104.6737;
USA;DFW;Dallas/Fort Worth International Airport;32.8998;-97.0403;
USA;DTW;Detroit Metropolitan Airport;42.2162;-83.3554;
USA;EWR;Newark Liberty International Airport;40.6895;-74.1745;
USA;FAI;Fairbanks International Airport;64.8150;-147.8564;
USA;FLL;Fort Lauderdale–Hollywood International Airport;26.0726;-80.1527;
USA;HNL;Daniel K. Inouye International Airport;21.3187;-157.9225;
USA;HOU;William P. Hobby Airport;29.6456;-95.2789;
USA;IAD;Washington Dulles International Airport;38.9519;-77.4481;
USA;IAH;George Bush Intercontinental Airport;29.9902;-95.3368;
USA;INL;Falls International Airport;48.5661;-93.4031;
USA;JFK;John F. Kennedy International Airport;40.6413;-73.7781;IDL
USA;KOA;Kona International Airport;19.738889;-156.045556;
USA;LAS;Harry Reid International Airport;36.0840;-115.1537;
USA;LAX;Los Angeles International Airport;33.9416;-118.4085;
USA;LGA;LaGuardia Airport;40.7769;-73.8740;
USA;LIH;Lihue Airport;21.976111;-159.338889;
USA;MCI;Kansas City International Airport;39.2975;-94.7139;
USA;MCO;Orlando International Airport;28.4312;-81.3081;
USA;MDW;Chicago Midway International Airport;41.7868;-87.7522;
USA;MIA;Miami International Airport;25.7959;-80.2870;
USA;MKK;Molokai Airport;21.152778;-157.096389;
USA;MSP;Minneapolis–Saint Paul International Airport;44.8848;-93.2223;
USA;OGG;Kahului Airport;20.898611;-156.430556;
USA;OME;Nome Airport;64.5122;-165.4453;
USA;ONT;Ontario International Airport;34.0561;-117.6011;
USA;ORD;O'Hare International Airport;41.9742;-87.9073;
USA;ORF;Norfolk International Airport;36.8944;-76.2008;
USA;OSU;Ohio State University Airport;40.0795;-83.0732;
USA;OTZ;Ralph Wien Memorial Airport;66.8906;-162.6042;
USA;PDX;Portland International Airport;45.5898;-122.5951;
USA;PHL;Philadelphia International Airport;39.8744;-75.2424;
USA;PHX;Phoenix Sky Harbor International Airport;33.4353;-112.0000;
USA;SAN;San Diego International Airport;32.7338;-117.1933;
USA;SDP;Sand Point Airport;55.3137;-160.5214;
USA;SEA;Seattle–Tacoma International Airport;47.4502;-122.3088;
USA;SFO;San Francisco International Airport;37.6213;-122.3790;
USA;SLC;Salt Lake City International Airport;40.7899;-111.9791;
USA;STL;St. Louis Lambert International Airport;38.7487;-90.3700;
USA;TPA;Tampa International Airport;27.9755;-82.5332;
USA;VPS;Destin–Fort Walton Beach Airport;30.4955;-86.5498;
USA;YAK;Yakutat Airport;59.5033;-139.6603;
